TipoPunto,Categoria,Valores
TIERRA ,SUSTANCIA ,QUIMO Y QUILO
TIERRA ,SECRECION,SALIVA
TIERRA ,APERTURA SOMATICA,BOCA 
TIERRA ,AZUADO ,GRASA
TIERRA ,AZUADO ,FLEMA 
TIERRA ,ESTACION DEL ANO ,CANICULA
TIERRA ,PROCESO,TRANSFORMACION
TIERRA ,FACTOR CLIMATICO ,HUMEDAD
TIERRA ,COLOR,NARANJA
TIERRA ,COLOR,AMARILLO 
TIERRA ,SABOR ,DULCE 
TIERRA ,OLOR ,PERFUMADO 
TIERRA ,OLOR ,DULCE 
TIERRA ,EMOCION,PREOCUPACIÓN 
TIERRA ,EMOCION,REFLEXIÓN
TIERRA ,EMOCION,OBSESIÓN
TIERRA ,SENTIDO ,GUSTO 
TIERRA ,SONIDO ,"CANTAR, ZUMBIDO "
TIERRA ,SONIDO CURATIVO ,GUUUUUU 
TIERRA ,PODER ,TRANSICIÓN 
TIERRA ,CICLO DEL DÍA ,MEDIODÍA 
TIERRA ,MOMENTOVIDA ,JUVENTUD 
TIERRA ,CLIMA ,HUMEDAD 
TIERRA ,FACULTAD ,CONCIENCIA PASIVA
TIERRA ,MOVIL,SITUARSE ASIMISMO
TIERRA ,CUALIDAD ,REFLEXIVA 
TIERRA ,ACTIVIDAD ,ABSORBER 
TIERRA ,ESTADO ,APLOMO 
TIERRA ,PUNTO CARDINAL ,CENTRO 
TIERRA ,CICLOVEGETAL ,COSECHA 
TIERRA ,PLANETA ,SATURNO 
TIERRA ,CICLO VITAL,MADUREZ
TIERRA ,ENERGIA Y NUTRE,T. CONJUNTIVO
TIERRA ,ESPIRITUALES,REFLEXION E IDEAS
TIERRA ,VALORES,MANIAS
TIERRA ,PSIQUICOS,PREOCUPACION
TIERRA ,NOTA MUSICAL,MI
TIERRA ,NUMERO,"2, 5 Y 6"
TIERRA ,SISTEMA,DIGESTIVO
TIERRA ,SISTEMA,MUSCULAR
METAL ,ORGANO ,PULMON 
METAL ,VISCERA,INTESTINO GRUESO
METAL ,GLANDULA ,TIMO
METAL ,ESTRUCTURA,PIEL Y PELOS
METAL ,TEJIDOS ,TIMO
METAL ,TEJIDOS ,PIEL
METAL ,TEJIDOS ,POROS
METAL ,TEJIDOS ,VELLO
METAL ,TEJIDOS ,VASOS
METAL ,TEJIDOS ,LINFÁTICOS
METAL ,TEJIDOS ,VENAS 
METAL ,AGUJERO ,NARIZ 
METAL ,GLORIA ,VELLO 
METAL ,SUSTANCIA ,LINFA 
METAL ,SECRECION,MOCO
METAL ,APERTURA SOMATICA,NARIZ 
METAL ,AZUADO ,MOCO
METAL ,AZUADO ,SUDOR
METAL ,AZUADO ,HECES FECALES 
METAL ,ESTACION DEL ANO ,OTOÑO
METAL ,PROCESO,COSECHA
METAL ,FACTOR CLIMATICO ,SEQUEDAD
METAL ,COLOR,AZUL
METAL ,COLOR,BLANCO 
METAL ,COLOR,GRIS 
METAL ,SABOR ,PICANTE 
METAL ,OLOR ,RANCIO 
METAL ,EMOCION,TRISTEZA
METAL ,EMOCION,DEPRESION 
METAL ,SENTIDO ,OLFATO 
METAL ,SONIDO ,LLANTO O CRUJIDO 
METAL ,SONIDO CURATIVO ,SSSSSSSSSSSS 
METAL ,PODER ,CONTRACCIÓN 
METAL ,CICLO DEL DÍA ,TARDE 
METAL ,MOMENTOVIDA ,MADUREZ
METAL ,MOMENTOVIDA ,VEJEZ
METAL ,CLIMA ,SECO 
METAL ,FACULTAD ,CONCIENCIA SUBIMINAL
METAL ,MOVIL,DEFINIRSE ASIMISMO
METAL ,CUALIDAD ,DEDUCTIVA 
METAL ,ACTIVIDAD ,ANALIZAR 
METAL ,ESTADO ,INHIBICION 
METAL ,PUNTO CARDINAL ,OESTE 
METAL ,CICLOVEGETAL ,CAÍDA 
METAL ,PLANETA ,VENUS 
METAL ,CICLO VITAL,DECLIVE
METAL ,ENERGIA Y NUTRE,PIEL
METAL ,ESPIRITUALES,FLUIDO VITAL
METAL ,ESPIRITUALES,ESPIRITU
METAL ,VALORES,PASIVIDAD
METAL ,PSIQUICOS,CALMADO
METAL ,PSIQUICOS,ABULICO
METAL ,PSIQUICOS,PESIMISMO
METAL ,NOTA MUSICAL,RE
METAL ,NUMERO,7 Y 8
METAL ,SISTEMA,RESPIRATORIO
ETHER,ORGANO ,PERICARDIO
ETHER,VISCERA,TRIPLE RECALENTADOR O SANJIAO
ETHER,GLANDULA ,PINEAL
ETHER,ESTRUCTURA,FASCIAS
ETHER,TEJIDOS ,TEJIDO INTERSTICIAL
ETHER,AGUJERO ,FONTANELA
ETHER,GLORIA ,SEMBLANTE
ETHER,SUSTANCIA ,LIQUIDO INTERSTICIAL
ETHER,SECRECION,DESTELLO AUREAL
ETHER,APERTURA SOMATICA,TERCER OJO
ETHER,AZUADO ,SUSPIRO
ETHER,ESTACION DEL ANO ,OTOÑO-INVIERNO (11 AL 31 DIC)
ETHER,PROCESO,COMPARTIR
ETHER,FACTOR CLIMATICO ,ESTREMECIMIENTO
ETHER,COLOR,DORADO
ETHER,SABOR ,EXACERBADO
ETHER,OLOR ,EXACERBADO
ETHER,EMOCION,ECUANIMIDAD
ETHER,SENTIDO ,INTUICION
ETHER,SONIDO ,SILENCIO
ETHER,SONIDO CURATIVO ,HIIIIIIIII
ETHER,SONIDO CURATIVO ,JIIIIIIIIIII
ETHER,SONIDO CURATIVO ,XIIIIIIIIII
ETHER,PODER ,ILUMINACION
ETHER,CICLO DEL DÍA ,MEDIA NOCHE
ETHER,MOMENTOVIDA ,TRASCENDENCIA
ETHER,CLIMA ,EXCESO DE FACTOR CLIMATICO
ETHER,FACULTAD ,CONSCIENCIA EVOLUTIVA
ETHER,MOVIL,TRASCENDERSE ASI MISMO
ETHER,CUALIDAD ,EVOLUTIVA
ETHER,ACTIVIDAD ,COMPRENDER
ETHER,ESTADO ,RESILENCIA
ETHER,PUNTO CARDINAL ,UNIVERSO
ETHER,CICLOVEGETAL ,RENACIMIENTO
ETHER,PLANETA ,SOL
ETHER,CICLO VITAL,TRASCENDENCIA
ETHER,ENERGIA Y NUTRE,CHISPA DIVINA
ETHER,ESPIRITUALES,AURA
ETHER,VALORES,LIBERTAD
ETHER,VALORES,PAZ
ETHER,PSIQUICOS,ECUANIMIDAD
ETHER,PSIQUICOS,TRANQUILIDAD
ETHER,NOTA MUSICAL,FA
ETHER,NOTA MUSICAL,SI
ETHER,NOTA MUSICAL,DO SOSTENIDO
ETHER,NUMERO,13
ETHER,SISTEMA,CONSCIENCIA UNIVERSAL
AGUA ,ORGANO ,RINON
AGUA ,VISCERA,VEJIGA 
AGUA ,GLANDULA ,SUPRARRENALES 
AGUA ,ESTRUCTURA,HUESOS
AGUA ,TEJIDOS ,OÍDO INTERNO
AGUA ,TEJIDOS ,CABELLO
AGUA ,TEJIDOS ,"HUESOS, "
AGUA ,TEJIDOS ,DIENTES
AGUA ,TEJIDOS ,MEDULA ÓSEA
AGUA ,TEJIDOS ,CEREBRO
AGUA ,TEJIDOS ,MEDULA ESPINAL 
AGUA ,TEJIDOS ,ANO
AGUA ,TEJIDOS ,"URETRA,"
AGUA ,TEJIDOS ,CUELLO DEL ÚTERO
AGUA ,TEJIDOS ,OVARIOS
AGUA ,TEJIDOS ,TESTICULOS
AGUA ,TEJIDOS ,PROSTATA
AGUA ,TEJIDOS ,CARTILAGO
AGUA ,AGUJERO ,OIDO 
AGUA ,GLORIA ,PELO
AGUA ,SUSTANCIA ,LIQUIDO CEFALORRAQUÍDEO 
AGUA ,SECRECION,SECRECIONES SEXUALES
AGUA ,SECRECION,ORINA 
AGUA ,APERTURA SOMATICA,ANO Y MEATO 
AGUA ,APERTURA SOMATICA,URINARIO
AGUA ,AZUADO ,ACIDO URICO 
AGUA ,ESTACION DEL ANO ,INVIERNO
AGUA ,PROCESO,ALMACENAMIENTO
AGUA ,FACTOR CLIMATICO ,FRIO
AGUA ,COLOR,NEGRO
AGUA ,COLOR,MORADO
AGUA ,SABOR ,ACRE
AGUA ,SABOR ,SALADO 
AGUA ,OLOR ,PODRIDO
AGUA ,OLOR ,ESTANCADO 
AGUA ,EMOCION,MIEDO
AGUA ,SENTIDO ,OIDO 
AGUA ,SONIDO ,GEMIDO O SUCCIÓN
AGUA ,SONIDO CURATIVO ,UUUUUUUUU 
AGUA ,PODER ,CONSOLIDACIÓN
AGUA ,CICLO DEL DÍA ,NOCHE
AGUA ,MOMENTOVIDA ,MUERTE 
AGUA ,CLIMA ,FRIO 
AGUA ,FACULTAD ,CONCIENCIA PRIMAL
AGUA ,MOVIL,CONSERVARSE ASIMISMO 
AGUA ,CUALIDAD ,INSTINTIVA 
AGUA ,ACTIVIDAD ,EXAMINAR
AGUA ,ESTADO ,RETRAIMIENTO
AGUA ,PUNTO CARDINAL ,NORTE 
AGUA ,CICLOVEGETAL ,DEGRADACIÓN 
AGUA ,PLANETA ,MERCURIO
AGUA ,CICLO VITAL,EXTASIS
AGUA ,ENERGIA Y NUTRE,HUESOS
AGUA ,ESPIRITUALES,VOLUNTAD
AGUA ,VALORES,INQUIETUD
AGUA ,PSIQUICOS,ANSIEDAD
AGUA ,PSIQUICOS,DEPRESIVO
AGUA ,PSIQUICOS,DEINTERES
AGUA ,NOTA MUSICAL,SOL
AGUA ,NUMERO,1
AGUA ,SISTEMA,URINARIO
AGUA ,SISTEMA,REPRODUCTOR
